07.07.2026-18:55:16:193 | No MANE Select tag, using longest-CDS transcript rna-NM_000546.5
07.07.2026-18:55:16:203 | Parsing 3 mutations...
07.07.2026-18:55:16:208 | Analysing has ended.
07.07.2026-19:50:52:499 | Disease database initialized.
07.07.2026-19:51:00:104 | Analysing started...
07.07.2026-19:51:00:711 | Reference data file found. Skipping download.
07.07.2026-19:51:00:712 | Annotation file found. Skipping download.
07.07.2026-19:51:12:858 | No MANE Select tag, using longest-CDS transcript rna-NM_000546.5
07.07.2026-19:51:12:869 | Parsing 3 mutations...
07.07.2026-19:51:12:880 | Analysing has ended.
07.07.2026-22:55:19:251 | Disease database initialized.
07.07.2026-22:55:27:070 | Analysing started...
07.07.2026-22:55:27:746 | Reference data file found. Skipping download.
07.07.2026-22:55:27:746 | Annotation file found. Skipping download.
07.07.2026-22:55:37:922 | No MANE Select tag, using longest-CDS transcript rna-NM_000546.5
07.07.2026-22:55:37:928 | Parsing 3 mutations...
07.07.2026-22:55:37:933 | Analysing has ended.
07.07.2026-22:58:47:692 | Disease database initialized.
07.07.2026-22:58:57:257 | Analysing started...
07.07.2026-22:58:57:849 | Reference data file found. Skipping download.
07.07.2026-22:58:57:849 | Annotation file found. Skipping download.
07.07.2026-22:59:07:858 | No MANE Select tag, using longest-CDS transcript rna-NM_000546.5
07.07.2026-22:59:07:866 | Parsing 3 mutations...
07.07.2026-22:59:07:867 | Analysing has ended.
07.07.2026-22:59:13:999 | VCF data exported in C:\Users\Asus\Desktop\Creative\Projects\GeneAnalyzerX\data\gene_TP53_export.vcf.
